"ASV_ID","JS44b_20","TA7_3","JS14_20","TA6_3","JS2_5","TA7_2","JS44b_5","JS5_20","JS3_5","JS14_5","BL3_2","JS14_1","BL11_2","JS12_20","TA8_2","JS6_5","SSW","JS13_5","JS41b_5","BL9_2","SV7_1","JS50_20","JS40_5","BL14_2","SV11_1","SV5_3","TA1_2","BL13_2","SD1_4","SV3_2","BL5_2","SV14_3","JS11_5","SV4_4","JS13_20","BL9_1","SV1_2b","Stn12_4","JS3_20","TA5_3","SV15_2","JS18_20","SD7_7","SV5_1","JS40b_5","JS50_5","SV7_2","BL1_2","JS42b_5","BL11_3","SV11_2","SV1_B1","BL5_3","SV1_3_2022","BL14_3","SV14_2","JS39_5","BL13_3","Stn13_8","JS28_5","SV14_1","Stn12_2","SDB1_3","SDB1_5","SV11_3","JS12_5","SV5_2","BL1_B4","OG3","JS46b_5","JSDT_3","TA8_3","BL1_1","JS41b_20","JS27_5","SDB1_4b","JS40_20","TA5_2","SV3_3","JS10_5","SDB1_4a","OG5","OG4","JS7_5","JS46b_20","SD10_5","JS18_5","SD1_3","BL6_B6","BL3_3","JS27_20","JSDT_4","Stn13_6","SD1_5","JS7_25","SV15_3","SD7_11","SD7_5","JS34_5","SV2_2","JS40b_20","SV2_3","TA1_3","SD10_3","JS6_20","SV1_1","SV1_2","SV20_1"
"01619d366cc8e0c4ce2de4acdaa078f2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01672f9534f697caae476bfe0168716f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"016bef9c1fe62654538d4d9c786c5886",0,0,0,0,0,0,0,0,0,6,3,18,0,0,0,0,0,0,0,12,0,0,0,0,0,4,6,8,0,0,14,9,0,0,0,0,0,0,0,0,17,0,0,0,0,8,0,0,3,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"017bf5e001c7ac2957e69d3f696c9c4a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0189a95e7113b6d67bab227ce75db1c0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01a1232bf7b1e4000e6af45a8d716dce",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01a7fd8ba402466a7069e0a92424671d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01a9a23cdf49225b02cf493133b4fe4e",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01d2982108e01c8755f9c1d46ccf8f88",601,0,11,373,0,104,0,0,0,14,0,0,2,0,161,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,10,0,93,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,49,13,0,0,0,69,0,0,0,20,0,7,0,11,0,0,0,0,204,0,0,0,0,0,71,0,27,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020e1ec25139293d174bdd4cd9ab59f7",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
